,median,lower,upper,cases,one,hl-1.0,hl0.0,hl2.0,hl3.0,hl4.0,hl5.0,hl6.0
2020-03-22,3.1663326653306614,0.8216432865731462,5.290581162324649,20.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-23,2.124248496993988,0.32064128256513025,4.028056112224449,25.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-24,2.024048096192385,0.6212424849699398,3.3266533066132262,30.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-25,1.8637274549098195,0.7615230460921844,2.9258517034068134,34.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-26,1.783567134268537,0.7615230460921844,2.7655310621242486,40.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-27,1.6833667334669338,0.721442885771543,2.5851703406813624,45.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-28,1.4028056112224447,0.501002004008016,2.284569138276553,44.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-29,1.1823647294589177,0.32064128256513025,2.0440881763527052,45.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-30,1.1823647294589177,0.32064128256513025,2.024048096192385,50.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-31,1.6232464929859718,0.781563126252505,2.4248496993987976,62.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-01,1.9038076152304608,1.1422845691382766,2.6252505010020037,75.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-02,1.9639278557114228,1.2625250501002003,2.6252505010020037,88.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-03,1.9839679358717435,1.342685370741483,2.5851703406813624,109.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-04,1.783567134268537,1.1823647294589177,2.344689378757515,119.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-05,1.5230460921843687,0.9619238476953907,2.064128256513026,122.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-06,1.1823647294589177,0.6412825651302605,1.7034068136272544,122.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-07,0.8416833667334669,0.3006012024048096,1.3827655310621243,109.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-08,0.6813627254509018,0.1402805611222445,1.222444889779559,101.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-09,0.5210420841683366,0.06012024048096192,1.0821643286573146,92.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-10,0.561122244488978,0.06012024048096192,1.1422845691382766,84.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-11,0.6613226452905812,0.1002004008016032,1.2625250501002003,83.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-12,0.8617234468937875,0.22044088176352705,1.4829659318637274,85.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-13,0.9619238476953907,0.3006012024048096,1.5831663326653307,82.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-14,1.0420841683366733,0.3807615230460922,1.6633266533066131,85.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-15,0.9619238476953907,0.3006012024048096,1.5831663326653307,83.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-16,1.0420841683366733,0.3807615230460922,1.6633266533066131,84.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-17,1.1422845691382766,0.48096192384769537,1.7635270541082164,92.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-18,1.342685370741483,0.721442885771543,1.9438877755511021,101.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-19,1.3827655310621243,0.781563126252505,1.9438877755511021,105.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-20,1.2625250501002003,0.6813627254509018,1.8236472945891782,108.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-21,1.1022044088176353,0.5210420841683366,1.6633266533066131,108.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-22,1.0220440881763526,0.4408817635270541,1.5831663326653307,107.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-23,0.9218436873747494,0.3406813627254509,1.4829659318637274,103.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-24,0.8416833667334669,0.2605210420841683,1.4228456913827654,99.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-25,0.9018036072144289,0.32064128256513025,1.4829659318637274,102.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-26,1.062124248496994,0.48096192384769537,1.6232464929859718,107.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-27,1.2424849699398797,0.6613226452905812,1.8036072144288577,114.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-28,1.282565130260521,0.721442885771543,1.8236472945891782,120.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-29,1.3827655310621243,0.8416833667334669,1.9038076152304608,133.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-30,1.3827655310621243,0.8617234468937875,1.8837675350701402,142.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-01,1.342685370741483,0.8416833667334669,1.8436873747494988,148.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-02,1.222444889779559,0.721442885771543,1.6833667334669338,151.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-03,1.1623246492985972,0.6813627254509018,1.6432865731462925,157.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-04,1.1422845691382766,0.6613226452905812,1.6032064128256511,161.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-05,1.1623246492985972,0.7014028056112224,1.6232464929859718,167.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-06,1.0821643286573146,0.6212424849699398,1.5430861723446894,165.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-07,1.0821643286573146,0.6212424849699398,1.5230460921843687,169.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-08,1.062124248496994,0.6012024048096192,1.5230460921843687,174.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-09,1.1422845691382766,0.7014028056112224,1.5831663326653307,180.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-10,1.1022044088176353,0.6412825651302605,1.5230460921843687,179.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-11,1.0420841683366733,0.5811623246492986,1.4629258517034067,178.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-12,0.9619238476953907,0.5210420841683366,1.4028056112224447,177.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-13,0.9819639278557114,0.5410821643286573,1.4228456913827654,178.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-14,1.002004008016032,0.561122244488978,1.442885771543086,179.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-15,1.0220440881763526,0.561122244488978,1.442885771543086,179.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-16,1.0220440881763526,0.5811623246492986,1.4629258517034067,181.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-17,1.062124248496994,0.6212424849699398,1.4829659318637274,185.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-18,1.0821643286573146,0.6412825651302605,1.503006012024048,188.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-19,1.062124248496994,0.6212424849699398,1.4829659318637274,188.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-20,1.002004008016032,0.561122244488978,1.4228456913827654,185.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-21,0.9619238476953907,0.5210420841683366,1.3827655310621243,184.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-22,0.9418837675350701,0.501002004008016,1.3827655310621243,183.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-23,0.9819639278557114,0.5410821643286573,1.4028056112224447,183.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-24,0.9819639278557114,0.5410821643286573,1.4228456913827654,183.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-25,1.0220440881763526,0.5811623246492986,1.4629258517034067,186.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-26,1.062124248496994,0.6212424849699398,1.4829659318637274,190.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-27,1.062124248496994,0.6212424849699398,1.4829659318637274,189.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-28,0.9819639278557114,0.5410821643286573,1.4028056112224447,184.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-29,0.8617234468937875,0.42084168336673344,1.282565130260521,175.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-30,0.7615230460921844,0.32064128256513025,1.2024048096192383,165.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-05-31,0.6813627254509018,0.24048096192384769,1.1422845691382766,154.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-06-01,0.6412825651302605,0.18036072144288576,1.122244488977956,143.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-06-02,0.6212424849699398,0.1402805611222445,1.1022044088176353,132.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-06-03,0.6412825651302605,0.1402805611222445,1.1422845691382766,125.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-06-04,0.6813627254509018,0.16032064128256512,1.1823647294589177,119.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-06-05,0.7414829659318637,0.2004008016032064,1.2625250501002003,114.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
