,median,lower,upper,cases,one,hl-1.0,hl0.0,hl2.0,hl3.0,hl4.0,hl5.0,hl6.0
2020-03-11,2.1442885771543083,0.16032064128256512,4.789579158316633,11.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-12,1.442885771543086,0.08016032064128256,3.8677354709418834,11.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-13,2.565130260521042,0.6813627254509018,4.328657314629258,19.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-14,2.50501002004008,1.062124248496994,3.8076152304609217,25.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-15,2.5851703406813624,1.3627254509018036,3.727454909819639,31.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-16,2.3246492985971945,1.2424849699398797,3.3266533066132262,41.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-17,2.1843687374749496,1.222444889779559,3.066132264529058,50.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-18,2.2044088176352705,1.3627254509018036,3.006012024048096,63.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-19,2.0841683366733466,1.3226452905811623,2.8056112224448895,77.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-20,1.8637274549098195,1.1823647294589177,2.5450901803607215,85.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-21,2.0440881763527052,1.4028056112224447,2.6452905811623246,113.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-22,2.444889779559118,1.9038076152304608,2.9859719438877756,166.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-23,2.3046092184368736,1.8436873747494988,2.785571142284569,190.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-24,2.164328657314629,1.7434869739478958,2.5851703406813624,232.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-25,1.8036072144288577,1.4028056112224447,2.1843687374749496,264.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-26,1.8036072144288577,1.442885771543086,2.164328657314629,306.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-27,1.6232464929859718,1.2625250501002003,1.9438877755511021,333.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-28,1.5230460921843687,1.2024048096192383,1.8436873747494988,359.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-29,1.2625250501002003,0.9418837675350701,1.5831663326653307,358.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-30,1.2625250501002003,0.9418837675350701,1.56312625250501,386.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-31,1.0420841683366733,0.7414829659318637,1.342685370741483,370.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-01,1.002004008016032,0.7014028056112224,1.3026052104208417,359.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-02,0.7414829659318637,0.42084168336673344,1.0420841683366733,331.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-03,0.6813627254509018,0.3607214428857715,1.002004008016032,307.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-04,0.5210420841683366,0.18036072144288576,0.8617234468937875,271.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-05,0.48096192384769537,0.12024048096192384,0.8216432865731462,244.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-06,0.3607214428857715,0.04008016032064128,0.721442885771543,211.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-07,0.3807615230460922,0.04008016032064128,0.781563126252505,190.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-08,0.32064128256513025,0.02004008016032064,0.721442885771543,162.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-09,0.3006012024048096,0.02004008016032064,0.7414829659318637,138.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-10,0.280561122244489,0.0,0.721442885771543,122.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-11,0.32064128256513025,0.02004008016032064,0.8016032064128256,107.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-12,0.3607214428857715,0.02004008016032064,0.8817635270541082,93.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-13,0.3607214428857715,0.02004008016032064,0.9218436873747494,82.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-14,0.3807615230460922,0.02004008016032064,0.9819639278557114,73.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-15,0.3607214428857715,0.02004008016032064,0.9619238476953907,60.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-16,0.3006012024048096,0.0,0.9018036072144289,48.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-17,0.280561122244489,0.0,0.9218436873747494,42.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-18,0.3807615230460922,0.0,1.122244488977956,38.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-19,0.781563126252505,0.08016032064128256,1.6432865731462925,42.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
