,median,lower,upper,cases,one,hl-1.0,hl0.0,hl2.0,hl3.0,hl4.0,hl5.0,hl6.0
2020-03-27,2.885771543086172,0.48096192384769537,5.2304609218436875,16.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-28,1.7034068136272544,0.1402805611222445,3.8276553106212425,18.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-29,1.7034068136272544,0.2605210420841683,3.226452905811623,21.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-30,2.004008016032064,0.721442885771543,3.2064128256513023,28.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-31,1.9038076152304608,0.721442885771543,3.006012024048096,31.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-01,1.9238476953907815,0.8617234468937875,2.9458917835671343,37.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-02,1.6032064128256511,0.6012024048096192,2.5450901803607215,40.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-03,1.442885771543086,0.501002004008016,2.3647294589178354,41.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-04,1.442885771543086,0.5410821643286573,2.3246492985971945,48.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-05,1.442885771543086,0.5811623246492986,2.284569138276553,52.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-06,1.4228456913827654,0.561122244488978,2.224448897795591,53.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-07,1.3827655310621243,0.561122244488978,2.164328657314629,60.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-08,1.4228456913827654,0.6412825651302605,2.164328657314629,66.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-09,1.56312625250501,0.8216432865731462,2.2645290581162323,74.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-10,1.4629258517034067,0.7615230460921844,2.1442885771543083,79.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-11,1.282565130260521,0.6012024048096192,1.9438877755511021,79.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-12,1.062124248496994,0.3807615230460922,1.7034068136272544,77.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-13,0.8617234468937875,0.2004008016032064,1.5230460921843687,73.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-14,0.721442885771543,0.1002004008016032,1.3827655310621243,67.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-15,0.5811623246492986,0.04008016032064128,1.2625250501002003,59.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-16,0.4609218436873747,0.02004008016032064,1.1623246492985972,51.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-17,0.501002004008016,0.02004008016032064,1.2424849699398797,49.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-18,0.6012024048096192,0.04008016032064128,1.3827655310621243,46.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-19,0.721442885771543,0.06012024048096192,1.5430861723446894,43.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-20,0.721442885771543,0.06012024048096192,1.56312625250501,41.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-21,0.781563126252505,0.08016032064128256,1.6432865731462925,40.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-22,0.8016032064128256,0.08016032064128256,1.6833667334669338,38.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-23,0.8416833667334669,0.08016032064128256,1.7434869739478958,37.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
