,median,lower,upper,cases,one,hl0.0,hl2.0,hl3.0,hl4.0,hl5.0
2020-03-18,1.8236472945891782,0.3807615230460922,3.2665330661322645,46.0,1,0.0,2.0,3.0,4.0,5.0
2020-03-19,3.3867735470941884,2.1442885771543083,4.529058116232465,73.0,1,0.0,2.0,3.0,4.0,5.0
2020-03-20,2.665330661322645,1.8436873747494988,3.4268537074148293,91.0,1,0.0,2.0,3.0,4.0,5.0
2020-03-21,2.6452905811623246,2.0440881763527052,3.2464929859719436,125.0,1,0.0,2.0,3.0,4.0,5.0
2020-03-22,2.7454909819639277,2.244488977955912,3.2464929859719436,189.0,1,0.0,2.0,3.0,4.0,5.0
2020-03-23,2.6452905811623246,2.224448897795591,3.0861723446893787,243.0,1,0.0,2.0,3.0,4.0,5.0
2020-03-24,2.3046092184368736,1.9038076152304608,2.665330661322645,283.0,1,0.0,2.0,3.0,4.0,5.0
2020-03-25,1.8837675350701402,1.5230460921843687,2.224448897795591,321.0,1,0.0,2.0,3.0,4.0,5.0
2020-03-26,1.6032064128256511,1.2625250501002003,1.9238476953907815,346.0,1,0.0,2.0,3.0,4.0,5.0
2020-03-27,1.4829659318637274,1.1623246492985972,1.783567134268537,374.0,1,0.0,2.0,3.0,4.0,5.0
2020-03-28,1.3827655310621243,1.062124248496994,1.6833667334669338,400.0,1,0.0,2.0,3.0,4.0,5.0
2020-03-29,1.2024048096192383,0.9018036072144289,1.4829659318637274,389.0,1,0.0,2.0,3.0,4.0,5.0
2020-03-30,1.062124248496994,0.7615230460921844,1.3627254509018036,389.0,1,0.0,2.0,3.0,4.0,5.0
2020-03-31,1.3226452905811623,1.0220440881763526,1.6032064128256511,475.0,1,0.0,2.0,3.0,4.0,5.0
2020-04-01,1.7434869739478958,1.4629258517034067,2.004008016032064,581.0,1,0.0,2.0,3.0,4.0,5.0
2020-04-02,2.024048096192385,1.783567134268537,2.2645290581162323,703.0,1,0.0,2.0,3.0,4.0,5.0
2020-04-03,1.9238476953907815,1.7034068136272544,2.1442885771543083,817.0,1,0.0,2.0,3.0,4.0,5.0
2020-04-04,1.8436873747494988,1.6232464929859718,2.0440881763527052,948.0,1,0.0,2.0,3.0,4.0,5.0
2020-04-05,1.6432865731462925,1.442885771543086,1.8236472945891782,1024.0,1,0.0,2.0,3.0,4.0,5.0
2020-04-06,1.4829659318637274,1.3026052104208417,1.6633266533066131,1089.0,1,0.0,2.0,3.0,4.0,5.0
2020-04-07,1.342685370741483,1.1623246492985972,1.5230460921843687,1156.0,1,0.0,2.0,3.0,4.0,5.0
2020-04-08,1.4028056112224447,1.222444889779559,1.56312625250501,1282.0,1,0.0,2.0,3.0,4.0,5.0
2020-04-09,1.4629258517034067,1.282565130260521,1.6232464929859718,1413.0,1,0.0,2.0,3.0,4.0,5.0
2020-04-10,1.4829659318637274,1.3226452905811623,1.6432865731462925,1534.0,1,0.0,2.0,3.0,4.0,5.0
2020-04-11,1.342685370741483,1.1823647294589177,1.4829659318637274,1563.0,1,0.0,2.0,3.0,4.0,5.0
2020-04-12,1.2424849699398797,1.1022044088176353,1.3827655310621243,1628.0,1,0.0,2.0,3.0,4.0,5.0
2020-04-13,1.0821643286573146,0.9218436873747494,1.222444889779559,1606.0,1,0.0,2.0,3.0,4.0,5.0
2020-04-14,0.9819639278557114,0.8416833667334669,1.1422845691382766,1555.0,1,0.0,2.0,3.0,4.0,5.0
2020-04-15,1.0220440881763526,0.8817635270541082,1.1623246492985972,1646.0,1,0.0,2.0,3.0,4.0,5.0
2020-04-16,1.1422845691382766,0.9819639278557114,1.282565130260521,1733.0,1,0.0,2.0,3.0,4.0,5.0
2020-04-17,1.442885771543086,1.3026052104208417,1.5831663326653307,1996.0,1,0.0,2.0,3.0,4.0,5.0
2020-04-18,1.5831663326653307,1.4629258517034067,1.723446893787575,2291.0,1,0.0,2.0,3.0,4.0,5.0
2020-04-19,1.56312625250501,1.442885771543086,1.7034068136272544,2434.0,1,0.0,2.0,3.0,4.0,5.0
2020-04-20,1.4028056112224447,1.282565130260521,1.5230460921843687,2539.0,1,0.0,2.0,3.0,4.0,5.0
2020-04-21,1.1823647294589177,1.062124248496994,1.3026052104208417,2554.0,1,0.0,2.0,3.0,4.0,5.0
2020-04-22,1.0420841683366733,0.9218436873747494,1.1422845691382766,2483.0,1,0.0,2.0,3.0,4.0,5.0
2020-04-23,1.1022044088176353,0.9819639278557114,1.2024048096192383,2679.0,1,0.0,2.0,3.0,4.0,5.0
2020-04-24,1.1823647294589177,1.062124248496994,1.282565130260521,2822.0,1,0.0,2.0,3.0,4.0,5.0
2020-04-25,1.442885771543086,1.342685370741483,1.5430861723446894,3195.0,1,0.0,2.0,3.0,4.0,5.0
2020-04-26,1.503006012024048,1.3827655310621243,1.6032064128256511,3550.0,1,0.0,2.0,3.0,4.0,5.0
2020-04-27,1.56312625250501,1.4629258517034067,1.6633266533066131,3903.0,1,0.0,2.0,3.0,4.0,5.0
2020-04-28,1.5230460921843687,1.4228456913827654,1.6232464929859718,4326.0,1,0.0,2.0,3.0,4.0,5.0
2020-04-29,1.5230460921843687,1.4228456913827654,1.6032064128256511,4773.0,1,0.0,2.0,3.0,4.0,5.0
2020-04-30,1.503006012024048,1.4228456913827654,1.5831663326653307,5217.0,1,0.0,2.0,3.0,4.0,5.0
2020-05-01,1.4028056112224447,1.3226452905811623,1.4829659318637274,5481.0,1,0.0,2.0,3.0,4.0,5.0
2020-05-02,1.2625250501002003,1.1823647294589177,1.342685370741483,5569.0,1,0.0,2.0,3.0,4.0,5.0
2020-05-03,1.1422845691382766,1.062124248496994,1.222444889779559,5679.0,1,0.0,2.0,3.0,4.0,5.0
