,median,lower,upper,cases,one,hl-1.0,hl0.0,hl2.0,hl3.0,hl4.0,hl5.0,hl6.0,hl7.0
2020-03-12,1.7434869739478958,0.1002004008016032,4.288577154308617,11.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-03-13,3.74749498997996,1.2625250501002003,5.95190380761523,19.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-03-14,2.464929859719439,0.781563126252505,3.9879759519038074,21.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-03-15,2.3847695390781563,1.1022044088176353,3.5871743486973946,27.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-03-16,2.685370741482966,1.5831663326653307,3.7074148296593186,45.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-03-17,2.6452905811623246,1.723446893787575,3.527054108216433,56.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-03-18,2.7054108216432864,1.9238476953907815,3.44689378757515,77.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-03-19,2.3246492985971945,1.6432865731462925,2.9859719438877756,97.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-03-20,2.1042084168336674,1.503006012024048,2.7054108216432864,111.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-03-21,2.1843687374749496,1.6232464929859718,2.7054108216432864,150.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-03-22,1.9839679358717435,1.4829659318637274,2.464929859719439,172.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-03-23,2.244488977955912,1.8036072144288577,2.685370741482966,229.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-03-24,2.3647294589178354,1.9839679358717435,2.7454909819639277,315.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-03-25,2.284569138276553,1.9438877755511021,2.6252505010020037,374.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-03-26,2.2044088176352705,1.9038076152304608,2.50501002004008,468.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-03-27,1.9438877755511021,1.6633266533066131,2.2044088176352705,544.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-03-28,1.8436873747494988,1.6032064128256511,2.1042084168336674,620.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-03-29,1.6432865731462925,1.4028056112224447,1.8837675350701402,686.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-03-30,1.5430861723446894,1.3226452905811623,1.7635270541082164,748.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-03-31,1.4829659318637274,1.2625250501002003,1.6833667334669338,816.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-04-01,1.4629258517034067,1.2625250501002003,1.6833667334669338,899.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-04-02,1.5430861723446894,1.342685370741483,1.7434869739478958,1021.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-04-03,1.5430861723446894,1.342685370741483,1.723446893787575,1113.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-04-04,1.342685370741483,1.1623246492985972,1.5230460921843687,1105.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-04-05,1.442885771543086,1.282565130260521,1.6232464929859718,1313.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-04-06,1.3026052104208417,1.122244488977956,1.4629258517034067,1318.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-04-07,1.3226452905811623,1.1623246492985972,1.4829659318637274,1351.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-04-08,1.0821643286573146,0.9218436873747494,1.2424849699398797,1374.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-04-09,1.0420841683366733,0.8817635270541082,1.2024048096192383,1356.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-04-10,1.0420841683366733,0.8817635270541082,1.2024048096192383,1382.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-04-11,1.062124248496994,0.9018036072144289,1.222444889779559,1429.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-04-12,0.8817635270541082,0.721442885771543,1.0420841683366733,1259.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-04-13,0.9018036072144289,0.7414829659318637,1.062124248496994,1307.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-04-14,0.8216432865731462,0.6613226452905812,1.002004008016032,1301.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-04-15,1.0220440881763526,0.8617234468937875,1.2024048096192383,1282.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-04-16,1.122244488977956,0.9619238476953907,1.282565130260521,1396.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-04-17,1.2625250501002003,1.1022044088176353,1.4228456913827654,1510.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-04-18,1.3827655310621243,1.2424849699398797,1.5430861723446894,1605.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-04-19,1.3026052104208417,1.1623246492985972,1.4629258517034067,1672.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-04-20,1.2424849699398797,1.1022044088176353,1.3827655310621243,1741.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-04-21,1.1623246492985972,1.0220440881763526,1.3026052104208417,1773.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-04-22,1.1823647294589177,1.0420841683366733,1.3226452905811623,1858.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-04-23,1.0420841683366733,0.9018036072144289,1.1623246492985972,1776.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-04-24,0.9819639278557114,0.8416833667334669,1.122244488977956,1761.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-04-25,0.9018036072144289,0.7615230460921844,1.0420841683366733,1758.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-04-26,1.002004008016032,0.8617234468937875,1.1422845691382766,1770.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-04-27,0.9418837675350701,0.8016032064128256,1.0821643286573146,1700.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-04-28,0.9018036072144289,0.7615230460921844,1.0420841683366733,1654.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-04-29,0.8216432865731462,0.6813627254509018,0.9619238476953907,1593.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-04-30,0.8817635270541082,0.7414829659318637,1.0220440881763526,1593.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-05-01,0.9619238476953907,0.8216432865731462,1.122244488977956,1627.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-05-02,1.062124248496994,0.9218436873747494,1.2024048096192383,1650.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-05-03,1.1623246492985972,1.0220440881763526,1.3226452905811623,1756.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-05-04,1.1623246492985972,1.002004008016032,1.3026052104208417,1777.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-05-05,1.1022044088176353,0.9619238476953907,1.2424849699398797,1761.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-05-06,0.9619238476953907,0.8216432865731462,1.1022044088176353,1723.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-05-07,0.9018036072144289,0.7615230460921844,1.0420841683366733,1681.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-05-08,0.8416833667334669,0.7014028056112224,0.9819639278557114,1605.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
2020-05-09,0.8016032064128256,0.6613226452905812,0.9418837675350701,1534.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0
