,median,lower,upper,cases,one,hl-1.0,hl0.0,hl2.0,hl3.0,hl4.0,hl5.0,hl6.0
2020-01-30,2.5250501002004007,2.2044088176352705,2.8256513026052104,1085.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-01-31,1.9438877755511021,1.6633266533066131,2.224448897795591,1300.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-02-01,1.8637274549098195,1.6633266533066131,2.064128256513026,1517.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-02-02,2.0841683366733466,1.9238476953907815,2.224448897795591,1983.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-02-03,2.004008016032064,1.8837675350701402,2.1442885771543083,2332.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-02-04,1.9038076152304608,1.783567134268537,2.024048096192385,2634.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-02-05,1.7635270541082164,1.6633266533066131,1.8837675350701402,3097.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-02-06,1.6032064128256511,1.4829659318637274,1.7034068136272544,3316.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-02-07,1.4829659318637274,1.3827655310621243,1.6032064128256511,3533.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-02-08,1.2424849699398797,1.1422845691382766,1.342685370741483,3556.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-02-09,1.0220440881763526,0.9218436873747494,1.1022044088176353,3342.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-02-10,0.8416833667334669,0.7414829659318637,0.9418837675350701,3227.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-02-11,0.6813627254509018,0.5811623246492986,0.781563126252505,2966.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-02-12,0.5410821643286573,0.4408817635270541,0.6613226452905812,2549.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-02-13,,,,3694.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-02-14,,,,4358.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-02-15,,,,4711.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-02-16,1.442885771543086,1.3627254509018036,1.5430861723446894,4851.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
