,median,lower,upper,cases,one,hl-0.5,hl0.0,hl0.5,hl1.5,hl2.0,hl2.5,hl3.0,hl3.5
2020-03-16,0.7014028056112224,0.06012024048096192,1.56312625250501,122.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-03-17,0.4008016032064128,0.02004008016032064,1.222444889779559,104.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-03-18,0.32064128256513025,0.0,0.9418837675350701,89.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-03-19,0.3406813627254509,0.02004008016032064,0.9018036072144289,81.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-03-20,0.48096192384769537,0.04008016032064128,1.1022044088176353,77.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-03-21,0.9218436873747494,0.280561122244489,1.56312625250501,86.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-03-22,1.2424849699398797,0.6012024048096192,1.8637274549098195,93.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-03-23,1.3026052104208417,0.6813627254509018,1.9238476953907815,93.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-03-24,1.2024048096192383,0.5811623246492986,1.8036072144288577,97.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-03-25,1.1823647294589177,0.561122244488978,1.7635270541082164,103.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-03-26,1.3026052104208417,0.721442885771543,1.8637274549098195,111.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-03-27,1.4028056112224447,0.8216432865731462,1.9438877755511021,122.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-03-28,1.503006012024048,0.9619238476953907,2.024048096192385,137.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-03-29,1.5430861723446894,1.0220440881763526,2.0440881763527052,152.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-03-30,1.56312625250501,1.0821643286573146,2.024048096192385,169.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-03-31,1.5230460921843687,1.062124248496994,1.9639278557114228,186.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-01,1.4829659318637274,1.0420841683366733,1.9038076152304608,202.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-02,1.4629258517034067,1.0420841683366733,1.8637274549098195,221.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-03,1.503006012024048,1.1022044088176353,1.8837675350701402,248.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-04,1.5230460921843687,1.1422845691382766,1.8837675350701402,272.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-05,1.4629258517034067,1.1022044088176353,1.8236472945891782,290.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-06,1.3627254509018036,1.002004008016032,1.7034068136272544,306.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-07,1.2625250501002003,0.9218436873747494,1.6032064128256511,319.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-08,1.222444889779559,0.8817635270541082,1.5430861723446894,329.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-09,1.1022044088176353,0.7615230460921844,1.4228456913827654,324.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-10,0.9218436873747494,0.5811623246492986,1.2424849699398797,303.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-11,0.721442885771543,0.3807615230460922,1.062124248496994,281.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-12,0.6012024048096192,0.2605210420841683,0.9619238476953907,258.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-13,0.5210420841683366,0.1402805611222445,0.8817635270541082,228.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-14,0.42084168336673344,0.06012024048096192,0.8016032064128256,200.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-15,0.3807615230460922,0.04008016032064128,0.781563126252505,180.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-16,0.5410821643286573,0.12024048096192384,0.9619238476953907,176.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-17,0.781563126252505,0.3406813627254509,1.222444889779559,178.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-18,0.9819639278557114,0.5410821643286573,1.4228456913827654,179.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5
