,median,lower,upper,cases,one,hl-1.0,hl0.0,hl2.0,hl3.0,hl4.0,hl5.0,hl6.0
2020-03-14,2.8256513026052104,0.3006012024048096,5.671342685370742,10.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-15,1.7434869739478958,0.1002004008016032,4.288577154308617,11.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-16,1.3827655310621243,0.1002004008016032,3.2665330661322645,11.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-17,1.3627254509018036,0.12024048096192384,2.9659318637274548,12.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-18,1.342685370741483,0.12024048096192384,2.885771543086172,13.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-19,1.6633266533066131,0.24048096192384769,3.1663326653306614,16.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-20,2.1042084168336674,0.6412825651302605,3.4669338677354706,22.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-21,2.5450901803607215,1.2625250501002003,3.727454909819639,31.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-22,2.5250501002004007,1.442885771543086,3.567134268537074,40.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-23,2.5250501002004007,1.5831663326653307,3.406813627254509,54.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-24,2.064128256513026,1.222444889779559,2.8657314629258517,60.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-25,1.9639278557114228,1.2024048096192383,2.7054108216432864,72.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-26,1.6032064128256511,0.8817635270541082,2.284569138276553,77.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-27,1.6633266533066131,1.002004008016032,2.3246492985971945,89.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-28,1.442885771543086,0.781563126252505,2.0440881763527052,93.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-29,1.3026052104208417,0.6813627254509018,1.9038076152304608,93.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-30,1.3026052104208417,0.7014028056112224,1.8837675350701402,106.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-31,1.4629258517034067,0.8817635270541082,2.024048096192385,120.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-01,2.1843687374749496,1.6633266533066131,2.685370741482966,175.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-02,2.5250501002004007,2.0841683366733466,2.9659318637274548,243.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-03,2.1843687374749496,1.783567134268537,2.565130260521042,258.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-04,1.9639278557114228,1.6032064128256511,2.3246492985971945,314.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-05,1.7434869739478958,1.4228456913827654,2.0841683366733466,370.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-06,2.0841683366733466,1.783567134268537,2.3847695390781563,477.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-07,1.9238476953907815,1.6633266533066131,2.2044088176352705,542.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-08,1.7034068136272544,1.442885771543086,1.9639278557114228,572.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-09,1.4629258517034067,1.222444889779559,1.7034068136272544,626.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-10,1.5230460921843687,1.282565130260521,1.7434869739478958,723.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-11,1.4829659318637274,1.2625250501002003,1.7034068136272544,762.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-12,1.3827655310621243,1.1623246492985972,1.6032064128256511,788.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-13,1.1823647294589177,0.9819639278557114,1.4028056112224447,808.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-14,1.2625250501002003,1.0420841683366733,1.4629258517034067,882.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-15,1.282565130260521,1.0821643286573146,1.4829659318637274,923.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-16,1.3026052104208417,1.1022044088176353,1.4829659318637274,963.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-17,1.1823647294589177,0.9819639278557114,1.3627254509018036,977.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-18,1.2024048096192383,1.002004008016032,1.3827655310621243,1032.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-19,1.3226452905811623,1.1422845691382766,1.503006012024048,1157.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-20,1.3026052104208417,1.122244488977956,1.4629258517034067,1163.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-21,1.3226452905811623,1.1422845691382766,1.4829659318637274,1244.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-22,1.222444889779559,1.062124248496994,1.3827655310621243,1312.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-23,1.3026052104208417,1.1422845691382766,1.4629258517034067,1384.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-24,1.2625250501002003,1.1022044088176353,1.4028056112224447,1442.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-25,1.222444889779559,1.062124248496994,1.3627254509018036,1486.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-26,1.122244488977956,0.9619238476953907,1.2625250501002003,1485.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
