,median,lower,upper,cases,one,hl-1.0,hl0.0,hl2.0,hl3.0,hl4.0,hl5.0,hl6.0
2020-03-18,2.3046092184368736,0.5811623246492986,3.947895791583166,35.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-19,4.108216432865731,2.785571142284569,5.33066132264529,64.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-20,3.006012024048096,2.1442885771543083,3.8276553106212425,82.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-21,2.565130260521042,1.9038076152304608,3.2064128256513023,99.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-22,2.024048096192385,1.4228456913827654,2.6052104208416833,118.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-23,1.9038076152304608,1.342685370741483,2.4248496993987976,139.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-24,1.7635270541082164,1.2625250501002003,2.2645290581162323,156.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-25,1.6633266533066131,1.1823647294589177,2.124248496993988,174.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-26,1.4228456913827654,0.9819639278557114,1.8837675350701402,180.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-27,1.4829659318637274,1.062124248496994,1.9238476953907815,207.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-28,1.5230460921843687,1.1022044088176353,1.9238476953907815,234.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-29,1.5430861723446894,1.1422845691382766,1.9238476953907815,248.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-30,1.3627254509018036,0.9819639278557114,1.7434869739478958,258.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-31,1.2424849699398797,0.8817635270541082,1.6032064128256511,271.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-01,1.1422845691382766,0.781563126252505,1.503006012024048,270.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-02,1.1623246492985972,0.8216432865731462,1.5230460921843687,285.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-03,1.1823647294589177,0.8416833667334669,1.5430861723446894,302.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-04,1.2625250501002003,0.9218436873747494,1.6032064128256511,315.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-05,1.3026052104208417,0.9819639278557114,1.6432865731462925,341.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-06,1.282565130260521,0.9418837675350701,1.5831663326653307,354.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-07,1.222444889779559,0.9018036072144289,1.5430861723446894,360.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-08,1.1623246492985972,0.8416833667334669,1.4629258517034067,374.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-09,1.1422845691382766,0.8216432865731462,1.442885771543086,383.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-10,1.6232464929859718,1.342685370741483,1.9038076152304608,503.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-11,1.8436873747494988,1.5831663326653307,2.124248496993988,599.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-12,1.9438877755511021,1.7034068136272544,2.1843687374749496,682.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-13,1.7635270541082164,1.5230460921843687,1.9839679358717435,783.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
