,median,lower,upper,cases,one,hl-0.5,hl0.0,hl0.5,hl1.5,hl2.0,hl2.5,hl3.0,hl3.5,hl4.0
2020-03-01,2.7454909819639277,2.024048096192385,3.4268537074148293,210.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-02,2.064128256513026,1.4228456913827654,2.685370741482966,258.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-03,2.0440881763527052,1.6032064128256511,2.464929859719439,314.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-04,2.004008016032064,1.6833667334669338,2.344689378757515,378.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-05,1.9639278557114228,1.6633266533066131,2.2645290581162323,454.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-06,1.9038076152304608,1.6232464929859718,2.164328657314629,531.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-07,1.9639278557114228,1.723446893787575,2.224448897795591,657.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-08,1.9839679358717435,1.7434869739478958,2.2044088176352705,796.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-09,2.1042084168336674,1.9038076152304608,2.3046092184368736,1003.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-10,1.9038076152304608,1.7034068136272544,2.0841683366733466,1121.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-11,1.8837675350701402,1.723446893787575,2.064128256513026,1340.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-12,1.8036072144288577,1.6432865731462925,1.9639278557114228,1588.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-13,1.8436873747494988,1.7034068136272544,1.9839679358717435,1837.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-14,1.8036072144288577,1.6833667334669338,1.9438877755511021,2147.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-15,1.7635270541082164,1.6432865731462925,1.8837675350701402,2471.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
