,median,lower,upper,cases,one,hl-1.0,hl0.0,hl2.0,hl3.0,hl4.0,hl5.0,hl6.0
2020-02-21,1.5230460921843687,0.08016032064128256,4.148296593186372,9.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-02-22,2.1442885771543083,0.16032064128256512,4.789579158316633,11.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-02-23,1.9438877755511021,0.24048096192384769,3.847695390781563,13.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-02-24,1.723446893787575,0.2605210420841683,3.2665330661322645,14.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-02-25,1.4028056112224447,0.16032064128256512,2.885771543086172,14.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-02-26,1.282565130260521,0.12024048096192384,2.7054108216432864,15.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-02-27,1.3627254509018036,0.16032064128256512,2.7655310621242486,17.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-02-28,1.342685370741483,0.16032064128256512,2.7054108216432864,17.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-02-29,1.1422845691382766,0.1002004008016032,2.4849699398797593,16.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-01,0.9819639278557114,0.06012024048096192,2.284569138276553,16.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-02,1.062124248496994,0.08016032064128256,2.3847695390781563,17.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-03,1.1422845691382766,0.1002004008016032,2.4849699398797593,17.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-04,1.3026052104208417,0.16032064128256512,2.6252505010020037,19.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-05,1.282565130260521,0.16032064128256512,2.565130260521042,20.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-06,1.7434869739478958,0.48096192384769537,2.9659318637274548,26.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-07,1.9238476953907815,0.7414829659318637,3.0460921843687374,32.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-08,1.9038076152304608,0.8016032064128256,2.9258517034068134,35.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-09,1.56312625250501,0.5410821643286573,2.5250501002004007,37.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-10,1.4228456913827654,0.4408817635270541,2.344689378757515,41.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-11,1.342685370741483,0.4008016032064128,2.244488977955912,43.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-12,1.3627254509018036,0.4609218436873747,2.224448897795591,46.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-13,1.1422845691382766,0.280561122244489,2.004008016032064,45.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-14,1.1823647294589177,0.32064128256513025,2.024048096192385,48.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-15,1.062124248496994,0.24048096192384769,1.9038076152304608,48.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-16,1.0220440881763526,0.22044088176352705,1.8637274549098195,46.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-17,0.8617234468937875,0.12024048096192384,1.6833667334669338,44.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-18,0.721442885771543,0.06012024048096192,1.56312625250501,40.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-19,0.7014028056112224,0.06012024048096192,1.56312625250501,38.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-20,0.8416833667334669,0.1002004008016032,1.723446893787575,40.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-21,0.9218436873747494,0.12024048096192384,1.8236472945891782,38.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-22,1.122244488977956,0.24048096192384769,2.024048096192385,41.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-23,1.122244488977956,0.24048096192384769,2.024048096192385,43.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-24,1.3226452905811623,0.42084168336673344,2.1843687374749496,46.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-25,1.442885771543086,0.5811623246492986,2.284569138276553,53.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-26,1.6432865731462925,0.8216432865731462,2.4248496993987976,62.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-27,1.7635270541082164,1.002004008016032,2.50501002004008,72.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-28,2.004008016032064,1.3026052104208417,2.665330661322645,93.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-29,2.064128256513026,1.442885771543086,2.665330661322645,114.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-30,1.9238476953907815,1.342685370741483,2.464929859719439,126.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-31,1.783567134268537,1.2625250501002003,2.3046092184368736,148.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-01,1.723446893787575,1.222444889779559,2.2044088176352705,172.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-02,1.783567134268537,1.3226452905811623,2.224448897795591,198.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-03,1.7434869739478958,1.3226452905811623,2.164328657314629,228.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-04,1.6833667334669338,1.3026052104208417,2.064128256513026,257.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-05,1.6432865731462925,1.2625250501002003,2.004008016032064,287.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-06,1.503006012024048,1.1623246492985972,1.8637274549098195,308.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-07,1.3827655310621243,1.0420841683366733,1.7034068136272544,321.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-08,1.342685370741483,1.002004008016032,1.6633266533066131,349.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-09,1.4028056112224447,1.0821643286573146,1.7034068136272544,387.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-10,1.5230460921843687,1.222444889779559,1.8236472945891782,433.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-11,1.5831663326653307,1.3026052104208417,1.8637274549098195,488.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-12,1.5430861723446894,1.2625250501002003,1.8036072144288577,530.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-13,1.3827655310621243,1.122244488977956,1.6432865731462925,546.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-14,1.2024048096192383,0.9418837675350701,1.4629258517034067,551.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-15,1.0220440881763526,0.781563126252505,1.282565130260521,540.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-16,0.9418837675350701,0.6813627254509018,1.1823647294589177,527.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-17,0.8817635270541082,0.6212424849699398,1.1422845691382766,517.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-18,0.9218436873747494,0.6613226452905812,1.1623246492985972,514.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-19,0.9418837675350701,0.6813627254509018,1.2024048096192383,508.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
