,median,lower,upper,cases,one,hl-1.0,hl0.0,hl2.0,hl3.0,hl4.0,hl5.0
2020-02-26,2.124248496993988,1.342685370741483,2.8657314629258517,178.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-02-27,2.3046092184368736,1.6232464929859718,2.9659318637274548,229.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-02-28,2.2645290581162323,1.8036072144288577,2.7054108216432864,290.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-02-29,2.284569138276553,1.9438877755511021,2.6252505010020037,374.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-01,2.1442885771543083,1.8436873747494988,2.464929859719439,451.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-02,1.9639278557114228,1.7034068136272544,2.244488977955912,520.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-03,1.8436873747494988,1.5831663326653307,2.0841683366733466,610.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-04,1.5831663326653307,1.3226452905811623,1.8236472945891782,636.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-05,1.3026052104208417,1.0821643286573146,1.5430861723446894,629.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-06,1.002004008016032,0.7615230460921844,1.222444889779559,608.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-07,0.781563126252505,0.5410821643286573,1.0220440881763526,560.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-08,0.6613226452905812,0.4008016032064128,0.9018036072144289,513.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-09,0.48096192384769537,0.22044088176352705,0.7414829659318637,447.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-10,0.22044088176352705,0.02004008016032064,0.501002004008016,346.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-11,0.1402805611222445,0.0,0.4008016032064128,300.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-12,0.08016032064128256,0.0,0.32064128256513025,242.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-13,0.12024048096192384,0.0,0.4008016032064128,187.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-14,0.08016032064128256,0.0,0.3406813627254509,146.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-15,0.1002004008016032,0.0,0.4008016032064128,124.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-16,0.2004008016032064,0.0,0.6212424849699398,112.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-17,0.501002004008016,0.06012024048096192,1.0420841683366733,111.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-18,0.5210420841683366,0.06012024048096192,1.0821643286573146,93.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-19,0.7014028056112224,0.16032064128256512,1.282565130260521,95.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-20,0.721442885771543,0.1402805611222445,1.3026052104208417,95.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
