,median,lower,upper,cases,one,hl-0.5,hl0.0,hl0.5,hl1.5,hl2.0,hl2.5,hl3.0,hl3.5,hl4.0
2020-05-27,2.224448897795591,0.9619238476953907,3.406813627254509,70.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-28,1.6833667334669338,0.5210420841683366,2.7655310621242486,80.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-29,1.4629258517034067,0.6412825651302605,2.224448897795591,84.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-30,1.2024048096192383,0.5410821643286573,1.8436873747494988,80.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-31,0.721442885771543,0.12024048096192384,1.3627254509018036,67.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-01,0.32064128256513025,0.0,0.9418837675350701,51.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-02,0.2004008016032064,0.0,0.7414829659318637,38.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-03,0.501002004008016,0.02004008016032064,1.2625250501002003,50.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-04,1.3226452905811623,0.4609218436873747,2.124248496993988,60.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-05,1.8036072144288577,1.002004008016032,2.565130260521042,63.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-06,1.282565130260521,0.5210420841683366,2.024048096192385,60.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-07,0.721442885771543,0.08016032064128256,1.4629258517034067,50.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-08,0.3607214428857715,0.0,1.062124248496994,38.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-09,0.3406813627254509,0.0,1.0821643286573146,37.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-10,0.9619238476953907,0.1402805611222445,1.8436873747494988,49.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-11,1.723446893787575,0.8617234468937875,2.565130260521042,57.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-12,1.8036072144288577,0.9819639278557114,2.565130260521042,61.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-13,1.2424849699398797,0.4609218436873747,1.9839679358717435,57.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-14,0.7615230460921844,0.1002004008016032,1.5230460921843687,49.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-15,0.3607214428857715,0.02004008016032064,1.0821643286573146,37.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-16,0.42084168336673344,0.02004008016032064,1.2024048096192383,38.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-17,1.0420841683366733,0.2004008016032064,1.9238476953907815,50.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-18,1.8637274549098195,1.002004008016032,2.685370741482966,60.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-19,1.8036072144288577,1.002004008016032,2.565130260521042,63.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-20,1.282565130260521,0.5210420841683366,2.024048096192385,60.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-21,0.721442885771543,0.08016032064128256,1.4629258517034067,50.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-22,0.3607214428857715,0.0,1.062124248496994,38.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
