,median,lower,upper,cases,one,hl-1.0,hl0.0,hl2.0,hl3.0,hl4.0,hl5.0
2020-03-31,1.6032064128256511,0.1002004008016032,3.8877755511022043,14.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-01,2.024048096192385,0.2004008016032064,4.248496993987976,17.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-02,1.6232464929859718,0.2004008016032064,3.226452905811623,18.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-03,1.5831663326653307,0.3006012024048096,2.885771543086172,20.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-04,1.122244488977956,0.1002004008016032,2.3847695390781563,18.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-05,1.0420841683366733,0.08016032064128256,2.3046092184368736,18.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-06,0.781563126252505,0.04008016032064128,2.004008016032064,16.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-07,0.9018036072144289,0.06012024048096192,2.1843687374749496,16.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-08,0.7615230460921844,0.04008016032064128,2.0440881763527052,14.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-09,0.9018036072144289,0.06012024048096192,2.2645290581162323,14.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-10,0.9018036072144289,0.06012024048096192,2.284569138276553,14.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-11,1.1823647294589177,0.1002004008016032,2.6052104208416833,15.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-12,1.0821643286573146,0.08016032064128256,2.4849699398797593,14.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-13,1.1623246492985972,0.1002004008016032,2.5851703406813624,15.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-14,1.1623246492985972,0.1002004008016032,2.565130260521042,16.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-15,1.442885771543086,0.2004008016032064,2.8056112224448895,18.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-16,1.5831663326653307,0.3006012024048096,2.885771543086172,21.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-17,1.9238476953907815,0.6412825651302605,3.12625250501002,27.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-18,1.9839679358717435,0.8016032064128256,3.0861723446893787,32.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-19,2.2044088176352705,1.1422845691382766,3.186372745490982,42.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-20,1.9238476953907815,0.9619238476953907,2.8256513026052104,47.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-21,1.5230460921843687,0.6212424849699398,2.3847695390781563,45.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-22,1.7034068136272544,0.8617234468937875,2.50501002004008,62.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-23,1.8236472945891782,1.062124248496994,2.565130260521042,74.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-24,2.024048096192385,1.3226452905811623,2.7054108216432864,85.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-25,1.7034068136272544,1.0420841683366733,2.3246492985971945,94.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-26,1.4629258517034067,0.8416833667334669,2.064128256513026,98.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-27,1.282565130260521,0.6813627254509018,1.8637274549098195,101.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-28,1.3627254509018036,0.781563126252505,1.9438877755511021,116.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
