,median,lower,upper,cases,one,hl-1.0,hl0.0,hl2.0,hl3.0,hl4.0,hl5.0
2020-03-11,3.12625250501002,1.8637274549098195,4.288577154308617,71.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-12,2.164328657314629,1.0420841683366733,3.2064128256513023,89.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-13,2.5250501002004007,1.8236472945891782,3.2064128256513023,126.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-14,2.164328657314629,1.6232464929859718,2.685370741482966,143.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-15,1.9038076152304608,1.4028056112224447,2.3847695390781563,157.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-16,1.4228456913827654,0.9418837675350701,1.9038076152304608,163.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-17,1.1022044088176353,0.6212424849699398,1.56312625250501,152.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-18,0.7615230460921844,0.280561122244489,1.2424849699398797,137.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-19,0.721442885771543,0.24048096192384769,1.2024048096192383,140.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-20,0.721442885771543,0.22044088176352705,1.222444889779559,130.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-21,1.0821643286573146,0.5811623246492986,1.5831663326653307,144.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-22,1.282565130260521,0.8016032064128256,1.7635270541082164,164.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-23,1.6032064128256511,1.1422845691382766,2.0440881763527052,184.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-24,1.5831663326653307,1.1422845691382766,2.004008016032064,203.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-25,1.5230460921843687,1.1022044088176353,1.9238476953907815,222.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-26,1.4028056112224447,1.002004008016032,1.8036072144288577,234.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-27,1.4228456913827654,1.0220440881763526,1.783567134268537,258.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-28,1.3226452905811623,0.9619238476953907,1.7034068136272544,269.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-29,1.2625250501002003,0.9018036072144289,1.6232464929859718,275.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-30,1.0821643286573146,0.721442885771543,1.4228456913827654,270.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-31,0.9418837675350701,0.5811623246492986,1.3026052104208417,261.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-01,0.8416833667334669,0.48096192384769537,1.2024048096192383,252.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-02,0.8216432865731462,0.4408817635270541,1.1823647294589177,244.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-03,0.7615230460921844,0.3807615230460922,1.1422845691382766,227.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-04,0.7615230460921844,0.3607214428857715,1.1422845691382766,220.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-05,0.721442885771543,0.32064128256513025,1.122244488977956,208.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-06,0.8216432865731462,0.42084168336673344,1.222444889779559,206.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-07,0.8617234468937875,0.4408817635270541,1.2625250501002003,203.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-08,0.721442885771543,0.3006012024048096,1.1422845691382766,176.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-09,0.501002004008016,0.1002004008016032,0.9418837675350701,153.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-10,0.32064128256513025,0.02004008016032064,0.7615230460921844,135.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-11,0.3607214428857715,0.02004008016032064,0.8416833667334669,121.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-12,0.501002004008016,0.06012024048096192,1.0220440881763526,115.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-13,0.5410821643286573,0.06012024048096192,1.0821643286573146,103.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-14,0.42084168336673344,0.02004008016032064,0.9819639278557114,84.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-15,0.6012024048096192,0.08016032064128256,1.1823647294589177,92.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-16,0.8016032064128256,0.2004008016032064,1.4228456913827654,93.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-17,1.062124248496994,0.4408817635270541,1.6833667334669338,88.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-18,0.9418837675350701,0.32064128256513025,1.5430861723446894,89.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-19,0.8016032064128256,0.18036072144288576,1.4228456913827654,83.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-20,0.8817635270541082,0.24048096192384769,1.503006012024048,82.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-21,0.8016032064128256,0.18036072144288576,1.442885771543086,80.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-22,0.9218436873747494,0.280561122244489,1.56312625250501,80.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-23,0.781563126252505,0.16032064128256512,1.4228456913827654,72.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-24,0.8817635270541082,0.22044088176352705,1.5430861723446894,75.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-25,0.7615230460921844,0.1402805611222445,1.442885771543086,70.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-26,0.8817635270541082,0.2004008016032064,1.56312625250501,67.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-27,0.7014028056112224,0.1002004008016032,1.4028056112224447,63.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-28,0.781563126252505,0.12024048096192384,1.503006012024048,62.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-29,0.6012024048096192,0.06012024048096192,1.3226452905811623,52.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-30,0.6012024048096192,0.04008016032064128,1.3627254509018036,49.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-01,0.561122244488978,0.04008016032064128,1.3226452905811623,47.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-02,0.8016032064128256,0.1002004008016032,1.6032064128256511,46.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-03,0.8617234468937875,0.12024048096192384,1.6833667334669338,45.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-04,0.8216432865731462,0.1002004008016032,1.6633266533066131,42.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-05,0.8216432865731462,0.1002004008016032,1.6633266533066131,41.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-06,0.8416833667334669,0.1002004008016032,1.723446893787575,41.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-07,1.0420841683366733,0.2004008016032064,1.9238476953907815,43.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-08,1.0420841683366733,0.2004008016032064,1.9038076152304608,42.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-09,1.0420841683366733,0.2004008016032064,1.9038076152304608,42.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-10,0.7615230460921844,0.08016032064128256,1.6432865731462925,37.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-11,0.6212424849699398,0.04008016032064128,1.503006012024048,32.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-12,0.48096192384769537,0.02004008016032064,1.3627254509018036,28.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-13,0.501002004008016,0.02004008016032064,1.442885771543086,25.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-14,0.5811623246492986,0.02004008016032064,1.5831663326653307,23.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-15,0.6412825651302605,0.04008016032064128,1.723446893787575,21.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-16,0.7414829659318637,0.04008016032064128,1.8637274549098195,20.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-17,0.9018036072144289,0.06012024048096192,2.0841683366733466,21.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-18,0.8416833667334669,0.06012024048096192,2.024048096192385,18.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-19,0.781563126252505,0.04008016032064128,1.9839679358717435,16.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-20,0.6613226452905812,0.02004008016032064,1.8637274549098195,15.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-21,0.8416833667334669,0.04008016032064128,2.1442885771543083,15.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-22,0.9819639278557114,0.06012024048096192,2.344689378757515,15.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-23,1.1623246492985972,0.1002004008016032,2.5450901803607215,16.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-24,1.1623246492985972,0.1002004008016032,2.5250501002004007,16.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-25,1.1422845691382766,0.1002004008016032,2.50501002004008,16.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-26,1.062124248496994,0.08016032064128256,2.4048096192384767,16.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-27,1.062124248496994,0.08016032064128256,2.4048096192384767,16.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-28,0.9018036072144289,0.06012024048096192,2.224448897795591,14.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-29,0.8416833667334669,0.04008016032064128,2.164328657314629,13.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-30,0.8416833667334669,0.04008016032064128,2.2044088176352705,13.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-31,1.002004008016032,0.06012024048096192,2.444889779559118,13.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-01,1.002004008016032,0.06012024048096192,2.444889779559118,12.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-02,0.8416833667334669,0.04008016032064128,2.2645290581162323,10.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-03,0.8416833667334669,0.04008016032064128,2.3046092184368736,10.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-04,1.122244488977956,0.08016032064128256,2.7254509018036073,12.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
