,median,lower,upper,cases,one,hl0.0,hl0.5,hl1.5,hl2.0,hl2.5,hl3.0,hl3.5,hl4.0
2020-03-21,2.0841683366733466,0.4408817635270541,3.6873747494989977,36.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-22,2.004008016032064,0.48096192384769537,3.4669338677354706,44.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-23,1.8236472945891782,0.7414829659318637,2.845691382765531,50.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-24,1.7034068136272544,0.8416833667334669,2.50501002004008,55.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-25,1.8236472945891782,1.0420841683366733,2.5851703406813624,70.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-26,1.9839679358717435,1.282565130260521,2.665330661322645,87.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-27,2.164328657314629,1.5430861723446894,2.785571142284569,109.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-28,2.1442885771543083,1.5831663326653307,2.7054108216432864,136.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-29,2.124248496993988,1.6232464929859718,2.6252505010020037,168.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-30,2.0440881763527052,1.5831663326653307,2.4849699398797593,201.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-31,2.1042084168336674,1.6833667334669338,2.50501002004008,256.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-01,1.9839679358717435,1.6032064128256511,2.344689378757515,299.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-02,2.0841683366733466,1.7434869739478958,2.4248496993987976,377.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
