,median,lower,upper,cases,one,hl-1.0,hl0.0,hl2.0,hl3.0,hl4.0,hl5.0,hl6.0,hl7.0,hl8.0
2020-02-16,1.8236472945891782,0.08016032064128256,5.090180360721443,5.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-02-17,1.8236472945891782,0.08016032064128256,5.090180360721443,5.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-02-18,1.4829659318637274,0.08016032064128256,3.9879759519038074,5.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-02-19,1.3226452905811623,0.06012024048096192,3.4669338677354706,5.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-02-20,1.1422845691382766,0.06012024048096192,3.2665330661322645,4.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-02-21,1.002004008016032,0.04008016032064128,3.106212424849699,3.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-02-22,0.8817635270541082,0.02004008016032064,3.006012024048096,2.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-02-23,1.0821643286573146,0.04008016032064128,3.527054108216433,2.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-02-24,1.3627254509018036,0.06012024048096192,4.148296593186372,2.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-02-25,1.4028056112224447,0.06012024048096192,4.348697394789579,1.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-02-26,1.4629258517034067,0.06012024048096192,4.609218436873747,1.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-02-27,1.5430861723446894,0.06012024048096192,4.949899799599198,1.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-02-28,2.164328657314629,0.1002004008016032,6.092184368737475,1.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-02-29,2.845691382765531,0.18036072144288576,6.793587174348697,2.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-01,2.50501002004008,0.16032064128256512,6.092184368737475,2.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-02,2.8056112224448895,0.22044088176352705,6.072144288577154,3.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-03,2.004008016032064,0.12024048096192384,4.909819639278557,3.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-04,1.9038076152304608,0.12024048096192384,4.669338677354709,3.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-05,1.5230460921843687,0.08016032064128256,4.148296593186372,3.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-06,2.1442885771543083,0.16032064128256512,4.789579158316633,5.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-07,1.9639278557114228,0.1402805611222445,4.428857715430862,5.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-08,2.1042084168336674,0.2004008016032064,4.38877755511022,6.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-09,1.7034068136272544,0.1402805611222445,3.8276553106212425,7.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-10,1.8236472945891782,0.18036072144288576,3.847695390781563,8.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-11,1.723446893787575,0.16032064128256512,3.6072144288577155,9.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-12,1.4829659318637274,0.12024048096192384,3.286573146292585,9.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-13,1.442885771543086,0.12024048096192384,3.186372745490982,10.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-14,1.282565130260521,0.1002004008016032,2.9659318637274548,10.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-15,1.4028056112224447,0.12024048096192384,3.066132264529058,11.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-16,1.503006012024048,0.16032064128256512,3.106212424849699,13.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-17,1.7034068136272544,0.2605210420841683,3.226452905811623,15.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-18,1.9438877755511021,0.4609218436873747,3.3667334669338675,19.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-19,1.9839679358717435,0.6012024048096192,3.2665330661322645,23.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-20,1.9639278557114228,0.7014028056112224,3.1462925851703405,27.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-21,1.8837675350701402,0.721442885771543,2.9659318637274548,32.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-22,1.6432865731462925,0.561122244488978,2.665330661322645,34.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-23,1.56312625250501,0.5410821643286573,2.5250501002004007,38.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-24,1.4228456913827654,0.4408817635270541,2.344689378757515,41.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-25,1.4228456913827654,0.501002004008016,2.3246492985971945,44.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-26,1.4028056112224447,0.501002004008016,2.244488977955912,48.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-27,1.3226452905811623,0.4609218436873747,2.164328657314629,50.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-28,1.342685370741483,0.501002004008016,2.1442885771543083,54.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-29,1.2625250501002003,0.4408817635270541,2.0440881763527052,56.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-30,1.122244488977956,0.32064128256513025,1.9038076152304608,54.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-03-31,0.9418837675350701,0.18036072144288576,1.7034068136272544,52.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-01,0.8617234468937875,0.1402805611222445,1.6633266533066131,52.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-02,0.9218436873747494,0.18036072144288576,1.723446893787575,52.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-03,1.0220440881763526,0.24048096192384769,1.8236472945891782,53.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-04,1.0821643286573146,0.3006012024048096,1.8837675350701402,55.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-05,1.4028056112224447,0.6012024048096192,2.1442885771543083,65.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-06,1.503006012024048,0.7414829659318637,2.224448897795591,71.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-07,1.6032064128256511,0.9018036072144289,2.284569138276553,79.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-08,1.5430861723446894,0.8617234468937875,2.1843687374749496,89.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-09,1.9038076152304608,1.3026052104208417,2.50501002004008,117.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-10,1.9839679358717435,1.4228456913827654,2.5250501002004007,139.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-11,1.9639278557114228,1.4629258517034067,2.464929859719439,160.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
2020-04-12,1.723446893787575,1.2625250501002003,2.1843687374749496,180.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
