,median,lower,upper,cases,one,hl-0.5,hl0.0,hl0.5,hl1.5,hl2.0,hl2.5,hl3.0,hl3.5,hl4.0
2020-03-07,2.1843687374749496,0.8416833667334669,3.406813627254509,63.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-08,2.344689378757515,1.1823647294589177,3.44689378757515,82.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-09,2.885771543086172,2.164328657314629,3.5871743486973946,127.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-10,3.1462925851703405,2.6452905811623246,3.6472945891783564,203.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-11,3.0861723446893787,2.665330661322645,3.4869739478957915,286.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-12,2.3647294589178354,2.004008016032064,2.7254509018036073,313.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-13,3.186372745490982,2.885771543086172,3.4669338677354706,621.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-14,2.885771543086172,2.6252505010020037,3.12625250501002,817.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-15,2.785571142284569,2.565130260521042,2.9859719438877756,1028.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-16,2.244488977955912,2.0440881763527052,2.4248496993987976,1283.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-17,2.004008016032064,1.8436873747494988,2.164328657314629,1481.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-18,1.8436873747494988,1.6833667334669338,1.9839679358717435,1692.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-19,1.8837675350701402,1.7434869739478958,2.024048096192385,2119.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-20,1.6432865731462925,1.5230460921843687,1.783567134268537,2180.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-21,1.783567134268537,1.6633266533066131,1.9038076152304608,2671.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-22,1.6232464929859718,1.503006012024048,1.7434869739478958,3013.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-23,1.8436873747494988,1.7434869739478958,1.9438877755511021,3572.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-24,1.723446893787575,1.6232464929859718,1.8036072144288577,4035.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-25,1.8637274549098195,1.783567134268537,1.9639278557114228,4937.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-26,1.8036072144288577,1.723446893787575,1.8837675350701402,5653.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-27,1.8036072144288577,1.723446893787575,1.8837675350701402,6492.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-28,1.6032064128256511,1.5230460921843687,1.6633266533066131,7012.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-29,1.4829659318637274,1.4028056112224447,1.5430861723446894,7489.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-30,1.282565130260521,1.222444889779559,1.342685370741483,7662.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-03-31,1.2024048096192383,1.1422845691382766,1.2625250501002003,7904.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-04-01,1.062124248496994,0.9819639278557114,1.122244488977956,7733.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
