,median,lower,upper,cases,one,hl-0.5,hl0.0,hl0.5,hl1.5,hl2.0,hl2.5,hl3.0,hl3.5,hl4.0,hl4.5
2020-03-11,2.7454909819639277,1.5430861723446894,3.8877755511022043,76.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-12,2.2044088176352705,1.122244488977956,3.2064128256513023,96.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-13,2.024048096192385,1.3026052104208417,2.7254509018036073,114.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-14,1.8036072144288577,1.2424849699398797,2.344689378757515,124.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-15,1.442885771543086,0.9018036072144289,1.9639278557114228,126.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-16,1.0821643286573146,0.5410821643286573,1.6032064128256511,120.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-17,0.8617234468937875,0.32064128256513025,1.4028056112224447,115.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-18,0.721442885771543,0.18036072144288576,1.2625250501002003,107.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-19,0.8016032064128256,0.24048096192384769,1.342685370741483,107.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-20,1.002004008016032,0.42084168336673344,1.5430861723446894,115.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-21,1.3026052104208417,0.7414829659318637,1.8436873747494988,127.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-22,1.4028056112224447,0.8817635270541082,1.9238476953907815,136.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-23,1.4228456913827654,0.9018036072144289,1.9038076152304608,147.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-24,1.3827655310621243,0.9018036072144289,1.8637274549098195,159.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-25,1.4829659318637274,1.002004008016032,1.9438877755511021,179.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-26,1.56312625250501,1.1022044088176353,1.9839679358717435,202.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-27,1.6633266533066131,1.2424849699398797,2.064128256513026,232.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-28,1.6633266533066131,1.2625250501002003,2.0440881763527052,262.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-29,1.5831663326653307,1.222444889779559,1.9438877755511021,286.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-30,1.503006012024048,1.1623246492985972,1.8637274549098195,313.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-03-31,1.4629258517034067,1.122244488977956,1.783567134268537,342.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-01,1.4228456913827654,1.1022044088176353,1.7434869739478958,368.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-02,1.442885771543086,1.1422845691382766,1.7434869739478958,406.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-03,1.4629258517034067,1.1623246492985972,1.7434869739478958,446.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-04,1.4028056112224447,1.122244488977956,1.6833667334669338,466.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-05,1.2625250501002003,0.9819639278557114,1.5230460921843687,474.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-06,1.062124248496994,0.8016032064128256,1.342685370741483,464.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-07,1.062124248496994,0.781563126252505,1.3226452905811623,481.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-08,1.1022044088176353,0.8216432865731462,1.3627254509018036,500.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-09,1.2024048096192383,0.9418837675350701,1.4629258517034067,521.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-10,1.1623246492985972,0.9018036072144289,1.4028056112224447,527.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-11,1.122244488977956,0.8817635270541082,1.3827655310621243,540.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-12,1.0821643286573146,0.8216432865731462,1.342685370741483,547.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-13,1.0220440881763526,0.7615230460921844,1.2625250501002003,534.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-14,0.8416833667334669,0.5811623246492986,1.1022044088176353,494.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-15,0.781563126252505,0.5210420841683366,1.0420841683366733,483.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-16,0.8416833667334669,0.561122244488978,1.1022044088176353,488.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-17,1.1022044088176353,0.8416833667334669,1.3627254509018036,524.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-18,1.2424849699398797,0.9819639278557114,1.4829659318637274,552.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-19,1.2024048096192383,0.9619238476953907,1.4629258517034067,553.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-20,1.0821643286573146,0.8416833667334669,1.3226452905811623,551.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-21,1.0420841683366733,0.781563126252505,1.282565130260521,563.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-22,1.062124248496994,0.8016032064128256,1.3026052104208417,571.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-23,1.122244488977956,0.8817635270541082,1.3627254509018036,592.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-24,1.1623246492985972,0.9218436873747494,1.4028056112224447,620.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-25,1.1823647294589177,0.9418837675350701,1.4228456913827654,635.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-26,1.1022044088176353,0.8617234468937875,1.3226452905811623,628.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-27,1.002004008016032,0.7615230460921844,1.222444889779559,619.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-28,0.9018036072144289,0.6813627254509018,1.1422845691382766,603.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-29,0.9218436873747494,0.6813627254509018,1.1623246492985972,603.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-04-30,0.9418837675350701,0.7014028056112224,1.1823647294589177,600.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-01,0.9819639278557114,0.721442885771543,1.2024048096192383,594.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-02,0.9418837675350701,0.7014028056112224,1.1823647294589177,585.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-03,0.9018036072144289,0.6412825651302605,1.1422845691382766,565.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-04,0.8016032064128256,0.5410821643286573,1.0420841683366733,526.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-05,0.7014028056112224,0.4408817635270541,0.9619238476953907,494.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-06,0.7414829659318637,0.48096192384769537,1.002004008016032,488.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-07,0.9819639278557114,0.721442885771543,1.2424849699398797,522.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
