,median,lower,upper,cases,one,hl-2.0,hl0.0,hl2.0,hl4.0,hl6.0,hl8.0,hl10.0,hl12.0
2020-04-18,1.7034068136272544,0.1402805611222445,3.8276553106212425,18.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-19,1.6232464929859718,0.12024048096192384,3.6472945891783564,20.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-20,2.1843687374749496,0.6813627254509018,3.5871743486973946,28.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-21,1.783567134268537,0.6012024048096192,2.905811623246493,29.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-22,1.56312625250501,0.4609218436873747,2.6252505010020037,29.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-23,1.002004008016032,0.12024048096192384,2.0440881763527052,28.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-24,0.7615230460921844,0.06012024048096192,1.783567134268537,24.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-25,0.6613226452905812,0.04008016032064128,1.7034068136272544,22.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-26,0.4609218436873747,0.02004008016032064,1.442885771543086,16.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-27,0.3006012024048096,0.0,1.2024048096192383,7.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-28,0.280561122244489,0.0,1.2424849699398797,6.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-29,1.8036072144288577,0.2605210420841683,3.44689378757515,21.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-30,3.3667334669338675,1.9238476953907815,4.709418837675351,27.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-01,2.885771543086172,1.6833667334669338,4.008016032064128,30.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-02,1.6633266533066131,0.561122244488978,2.7054108216432864,32.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-03,1.1623246492985972,0.2004008016032064,2.1843687374749496,30.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-04,0.7615230460921844,0.06012024048096192,1.7635270541082164,25.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-05,0.4609218436873747,0.02004008016032064,1.4028056112224447,19.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-06,0.16032064128256512,0.0,0.781563126252505,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-07,0.18036072144288576,0.0,0.8617234468937875,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-08,,,,3.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-09,,,,4.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-10,,,,5.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-11,1.9038076152304608,0.1402805611222445,4.268537074148297,5.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-12,1.56312625250501,0.1002004008016032,3.787575150300601,5.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-13,1.1422845691382766,0.06012024048096192,3.2665330661322645,4.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-14,1.002004008016032,0.04008016032064128,3.106212424849699,3.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-15,0.6613226452905812,0.02004008016032064,2.565130260521042,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-16,0.781563126252505,0.02004008016032064,3.106212424849699,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-17,1.002004008016032,0.04008016032064128,4.148296593186372,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-18,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-19,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-20,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-21,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-22,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-23,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
