,median,lower,upper,cases,one,hl-2.0,hl0.0,hl2.0,hl4.0,hl6.0,hl8.0,hl10.0,hl12.0
2020-02-16,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-02-17,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-02-18,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-02-19,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-02-20,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-02-21,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-02-22,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-02-23,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-02-24,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-02-25,4.98997995991984,0.24048096192384769,9.759519038076151,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-02-26,,,,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-02-27,,,,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-02-28,,,,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-02-29,2.164328657314629,0.1002004008016032,6.092184368737475,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-03-01,2.164328657314629,0.1002004008016032,6.092184368737475,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-03-02,2.164328657314629,0.1002004008016032,6.092184368737475,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-03-03,2.164328657314629,0.1002004008016032,6.092184368737475,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-03-04,1.6432865731462925,0.06012024048096192,5.410821643286573,0.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-03-05,,,,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-03-06,,,,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-03-07,,,,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-03-08,2.164328657314629,0.1002004008016032,6.092184368737475,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-03-09,2.164328657314629,0.1002004008016032,6.092184368737475,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-03-10,2.164328657314629,0.1002004008016032,6.092184368737475,1.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-03-11,2.845691382765531,0.18036072144288576,6.793587174348697,2.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-03-12,3.12625250501002,0.2605210420841683,6.6533066132264524,3.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-03-13,3.0460921843687374,0.3406813627254509,6.072144288577154,4.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-03-14,2.4849699398797593,0.24048096192384769,5.110220440881763,5.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-03-15,3.0260521042084165,0.6412825651302605,5.270541082164328,9.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
