,median,lower,upper,cases,one,hl0.0,hl0.5,hl1.5,hl2.0,hl2.5,hl3.0,hl3.5
2020-03-25,2.164328657314629,1.5831663326653307,2.7054108216432864,340.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-03-26,2.665330661322645,2.1843687374749496,3.12625250501002,469.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-03-27,2.9258517034068134,2.6252505010020037,3.2064128256513023,702.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-03-28,2.7054108216432864,2.4849699398797593,2.9258517034068134,926.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-03-29,2.464929859719439,2.284569138276553,2.665330661322645,1157.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-03-30,2.1442885771543083,1.9639278557114228,2.3046092184368736,1384.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-03-31,2.024048096192385,1.8637274549098195,2.1843687374749496,1683.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-01,1.8436873747494988,1.6833667334669338,1.9839679358717435,1893.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-02,1.6633266533066131,1.5230460921843687,1.783567134268537,2053.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-03,1.442885771543086,1.3026052104208417,1.56312625250501,2173.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-04,1.3827655310621243,1.2625250501002003,1.503006012024048,2362.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-05,1.3827655310621243,1.2625250501002003,1.503006012024048,2555.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-06,1.4028056112224447,1.3026052104208417,1.5230460921843687,2758.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-07,1.3827655310621243,1.2625250501002003,1.4829659318637274,2938.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-08,1.4028056112224447,1.282565130260521,1.503006012024048,3206.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-04-09,1.3827655310621243,1.282565130260521,1.4829659318637274,3444.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
