,median,lower,upper,cases,one,hl-1.0,hl0.0,hl2.0,hl3.0,hl4.0,hl5.0
2020-03-15,1.6432865731462925,0.08016032064128256,4.529058116232465,7.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-16,1.6432865731462925,0.08016032064128256,4.529058116232465,7.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-17,0.8817635270541082,0.02004008016032064,2.885771543086172,4.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-18,0.9819639278557114,0.04008016032064128,2.905811623246493,5.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-19,1.3026052104208417,0.06012024048096192,3.406813627254509,7.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-20,2.1442885771543083,0.2605210420841683,4.228456913827655,8.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-21,2.124248496993988,0.32064128256513025,4.028056112224449,10.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-22,1.4629258517034067,0.12024048096192384,3.226452905811623,9.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-23,2.004008016032064,0.3607214428857715,3.6873747494989977,14.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-24,2.224448897795591,0.6212424849699398,3.7074148296593186,19.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-25,3.006012024048096,1.6432865731462925,4.248496993987976,29.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-26,2.164328657314629,0.9819639278557114,3.286573146292585,30.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-27,2.164328657314629,1.1022044088176353,3.1663326653306614,39.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-28,1.8236472945891782,0.8416833667334669,2.7454909819639277,46.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-29,2.124248496993988,1.2424849699398797,2.9458917835671343,58.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-30,1.6633266533066131,0.8416833667334669,2.444889779559118,59.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-31,1.4228456913827654,0.6412825651302605,2.164328657314629,60.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-01,1.3026052104208417,0.5410821643286573,2.024048096192385,69.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-02,1.8637274549098195,1.1623246492985972,2.5250501002004007,93.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-03,2.1843687374749496,1.56312625250501,2.785571142284569,117.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-04,2.2645290581162323,1.7034068136272544,2.785571142284569,146.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-05,2.1042084168336674,1.6232464929859718,2.5851703406813624,178.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-06,2.024048096192385,1.5831663326653307,2.464929859719439,214.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-07,1.8837675350701402,1.4629258517034067,2.2645290581162323,245.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-08,1.6633266533066131,1.282565130260521,2.0440881763527052,265.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-09,1.4629258517034067,1.0821643286573146,1.8236472945891782,281.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-10,1.342685370741483,0.9819639278557114,1.6833667334669338,298.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-11,1.3026052104208417,0.9619238476953907,1.6432865731462925,316.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-12,1.282565130260521,0.9418837675350701,1.6232464929859718,332.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-13,1.282565130260521,0.9619238476953907,1.6032064128256511,351.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-14,1.2625250501002003,0.9418837675350701,1.5831663326653307,369.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-15,1.2625250501002003,0.9619238476953907,1.56312625250501,387.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-16,1.2424849699398797,0.9418837675350701,1.5430861723446894,404.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-17,1.222444889779559,0.9218436873747494,1.503006012024048,419.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-18,0.9819639278557114,0.6813627254509018,1.282565130260521,384.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-19,0.9018036072144289,0.6012024048096192,1.2024048096192383,382.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-20,0.8416833667334669,0.5410821643286573,1.1422845691382766,383.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-21,1.0220440881763526,0.721442885771543,1.3226452905811623,389.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-22,1.0821643286573146,0.781563126252505,1.3827655310621243,400.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-23,1.1623246492985972,0.8617234468937875,1.442885771543086,419.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-24,1.222444889779559,0.9418837675350701,1.503006012024048,442.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-25,1.4028056112224447,1.122244488977956,1.6633266533066131,501.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-26,1.342685370741483,1.062124248496994,1.6032064128256511,510.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-27,1.2424849699398797,0.9819639278557114,1.503006012024048,513.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-28,1.062124248496994,0.8016032064128256,1.3226452905811623,519.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-29,1.062124248496994,0.8016032064128256,1.3026052104208417,526.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-30,1.062124248496994,0.8016032064128256,1.3226452905811623,531.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-01,1.0420841683366733,0.8016032064128256,1.3026052104208417,535.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-02,1.0420841683366733,0.8016032064128256,1.3026052104208417,541.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-03,1.0420841683366733,0.8016032064128256,1.3026052104208417,547.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-04,1.062124248496994,0.8216432865731462,1.3226452905811623,556.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-05,1.0220440881763526,0.781563126252505,1.282565130260521,549.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-06,1.002004008016032,0.7414829659318637,1.2424849699398797,546.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-07,0.9418837675350701,0.6813627254509018,1.1823647294589177,537.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-08,0.9418837675350701,0.7014028056112224,1.2024048096192383,533.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-09,0.9819639278557114,0.721442885771543,1.222444889779559,539.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-10,1.0821643286573146,0.8416833667334669,1.342685370741483,566.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-11,1.1823647294589177,0.9218436873747494,1.4228456913827654,591.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-12,1.3026052104208417,1.0420841683366733,1.5230460921843687,638.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-13,1.3026052104208417,1.062124248496994,1.5230460921843687,671.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-14,1.282565130260521,1.062124248496994,1.5230460921843687,701.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-15,1.222444889779559,0.9819639278557114,1.442885771543086,723.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
