,median,lower,upper,cases,one,hl-1.0,hl0.0,hl2.0,hl3.0,hl4.0,hl5.0
2020-03-04,2.6252505010020037,0.7014028056112224,4.408817635270541,29.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-05,2.224448897795591,0.561122244488978,3.8276553106212425,37.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-06,2.164328657314629,1.002004008016032,3.2464929859719436,46.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-07,2.004008016032064,1.1022044088176353,2.845691382765531,53.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-08,1.7034068136272544,0.8617234468937875,2.50501002004008,57.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-09,1.6833667334669338,0.9018036072144289,2.4248496993987976,68.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-10,2.0440881763527052,1.342685370741483,2.7254509018036073,93.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-11,2.6452905811623246,2.064128256513026,3.226452905811623,139.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-12,2.9458917835671343,2.444889779559118,3.4268537074148293,204.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-13,2.785571142284569,2.3647294589178354,3.186372745490982,271.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-14,2.4048096192384767,2.0440881763527052,2.7454909819639277,329.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-15,2.0440881763527052,1.723446893787575,2.3647294589178354,384.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-16,1.8236472945891782,1.503006012024048,2.1042084168336674,438.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-17,1.7034068136272544,1.4228456913827654,1.9839679358717435,497.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-18,1.7034068136272544,1.442885771543086,1.9639278557114228,574.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-19,1.723446893787575,1.4829659318637274,1.9639278557114228,665.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-03-20,1.8036072144288577,1.5831663326653307,2.024048096192385,788.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
