,median,lower,upper,cases,one,hl-1.0,hl0.0,hl2.0,hl3.0,hl4.0,hl5.0,hl6.0
2020-03-25,1.5831663326653307,0.08016032064128256,4.328657314629258,8.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-26,1.9038076152304608,0.12024048096192384,4.669338677354709,9.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-27,1.4629258517034067,0.1002004008016032,3.527054108216433,9.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-28,1.0420841683366733,0.06012024048096192,2.7655310621242486,7.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-29,0.9418837675350701,0.04008016032064128,2.6452905811623246,7.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-30,1.062124248496994,0.06012024048096192,2.8657314629258517,8.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-03-31,1.222444889779559,0.06012024048096192,3.066132264529058,7.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-01,1.222444889779559,0.06012024048096192,3.066132264529058,7.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-02,0.9619238476953907,0.04008016032064128,2.7454909819639277,6.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-03,1.1022044088176353,0.06012024048096192,2.9859719438877756,6.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-04,0.9619238476953907,0.04008016032064128,2.845691382765531,5.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-05,1.122244488977956,0.06012024048096192,3.1462925851703405,5.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-06,0.9819639278557114,0.04008016032064128,2.9859719438877756,4.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-07,1.1623246492985972,0.06012024048096192,3.3266533066132262,4.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-08,1.1823647294589177,0.06012024048096192,3.406813627254509,4.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-09,1.2024048096192383,0.06012024048096192,3.4869739478957915,3.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-10,1.222444889779559,0.06012024048096192,3.5871743486973946,3.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-11,1.2424849699398797,0.06012024048096192,3.7074148296593186,3.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-12,1.5230460921843687,0.08016032064128256,4.148296593186372,3.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-13,1.5230460921843687,0.08016032064128256,4.148296593186372,3.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-14,1.8236472945891782,0.1002004008016032,4.468937875751503,4.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-15,1.7434869739478958,0.1002004008016032,4.288577154308617,4.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-16,1.9639278557114228,0.1402805611222445,4.428857715430862,5.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-17,1.6032064128256511,0.1002004008016032,3.8877755511022043,5.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-18,2.024048096192385,0.2004008016032064,4.248496993987976,7.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-19,2.3046092184368736,0.3406813627254509,4.3086172344689375,10.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-20,2.0440881763527052,0.3006012024048096,3.8677354709418834,10.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-21,2.164328657314629,0.4609218436873747,3.8076152304609217,14.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-22,1.5831663326653307,0.2004008016032064,3.12625250501002,14.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-23,1.7434869739478958,0.32064128256513025,3.2064128256513023,16.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-24,1.2625250501002003,0.12024048096192384,2.6452905811623246,16.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-25,1.062124248496994,0.08016032064128256,2.4248496993987976,14.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-26,0.7014028056112224,0.02004008016032064,2.004008016032064,11.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
2020-04-27,0.6412825651302605,0.02004008016032064,1.9438877755511021,10.0,1,-1.0,0.0,2.0,3.0,4.0,5.0,6.0
